时段,刻数,父母情况,弟兄情况,爻象
子,1,父母寿,弟兄多,得乾中爻
子,2,母丧,弟兄少,得乾上爻
子,3,父母丧,弟兄四五,得乾初爻
子,4,父丧母寿,弟兄多,得坤初爻
子,5,父母丧,弟兄无,得坤中爻
子,6,父母寿,弟兄无,兑离巽
子,7,父丧母寿,弟兄二三,得坤上爻
子,8,父丧,弟兄无,坎艮震
丑,1,母丧父寿,弟兄四五,得乾中爻
丑,2,父母寿,弟兄二三,乾上爻
丑,3,父丧,弟兄二三,得乾初爻
丑,4,母丧,弟兄四五,得坤初爻
丑,5,母丧,弟兄少,得坤中爻
丑,6,父母丧,弟兄无,兑离巽
丑,7,父母寿,弟兄少,得坤上爻
丑,8,父丧母寿,弟兄少,艮坎震
寅,1,母丧父寿,弟兄四五,得乾中爻
寅,2,父母寿,弟兄多,得乾上爻
寅,3,父母丧,弟兄二三,得乾初爻
寅,4,母丧父寿,弟兄二三,得坤初爻
寅,5,父丧,弟兄多,得坤中爻
寅,6,母丧,弟兄少,兑离巽
寅,7,父母丧,弟兄四五,得坤上爻
寅,8,父母寿,弟兄少,艮坎震
卯,1,母丧父寿,弟兄多,得乾中爻
卯,2,父丧母寿,弟兄二三,得乾初爻
卯,3,父母寿,弟兄四五,得乾初爻
卯,4,父母丧,弟兄无,得坤初爻
卯,5,父丧,弟兄多,得坤中爻
卯,6,母丧,弟兄少,兑离巽
卯,7,父母寿,弟兄二三,得坤上爻
卯,8,父母丧,弟兄二三,艮坎震
辰,1,母丧父寿,弟兄三四,得乾中爻
辰,2,父母寿,弟兄无,得乾上爻
辰,3,父母丧,弟兄四五,得乾初爻
辰,4,父丧母寿,弟兄四五,得坤初爻
辰,5,父母寿,弟兄二三,得坤中爻
辰,6,父母丧,弟兄少,兑离巽
辰,7,母丧,弟兄无,得坤上爻
辰,8,父丧,弟兄无,艮坎震
巳,1,父母寿,弟兄四五,得乾中爻
巳,2,母丧,弟兄四五,得乾上爻
巳,3,父丧母寿,弟兄二三,得乾初爻
巳,4,父母丧,弟兄二三,得坤初爻
巳,5,父丧母寿,弟兄无,得坤初爻
巳,6,父母寿,弟兄少,兑离巽
巳,7,母丧,弟兄二三,得坤上爻
巳,8,父母丧,弟兄少,艮坎震
午,1,父母丧,弟兄四五,得乾中爻
午,2,父丧,弟兄四五,得乾上爻
午,3,父母寿,弟兄多,得乾初爻
午,4,母丧,弟兄无,得坤初爻
午,5,父母寿,弟兄二三,得坤中爻
午,6,母丧父寿,弟兄多,兑离巽
午,7,父母丧,弟兄二三,得坤上爻
午,8,父丧母寿,弟兄二三,艮坎震
未,1,父丧母寿,弟兄多,得乾中爻
未,2,父母丧,弟兄无,得乾上爻
未,3,母丧,弟兄二三,得乾初爻
未,4,父母寿,弟兄无,得坤初爻
未,5,父丧母寿,弟兄二三,得坤中爻
未,6,母丧,弟兄多,兑离巽
未,7,父母爻,弟兄二三,得坤上爻
未,8,父母丧,弟兄二三,艮坎震
申,1,父丧母寿,弟兄四五,得乾中爻
申,2,母丧,弟兄四五,得乾上爻
申,3,父母寿,弟兄四五,得乾初爻
申,4,父母丧,弟兄四五,得坤初爻
申,5,母丧父寿,弟兄无,得坤中爻
申,6,父母丧,弟兄少,兑离巽
申,7,父丧,弟兄无,得坤上爻
申,8,父母寿,弟兄二三,艮坎震
酉,1,父母丧,弟兄二三,得乾中爻
酉,2,母丧,弟兄二三,得乾上爻
酉,3,父母寿,弟兄无,得乾初爻
酉,4,父丧母寿,弟兄二三,得坤初爻
酉,5,父丧,弟兄无,得坤中爻
酉,6,母丧父寿,弟兄少,兑离巽
酉,7,父母丧,弟兄少,得坤上爻
酉,8,父母寿,弟兄多,艮坎震
戌,1,父母寿,弟兄二三,得乾中爻
戌,2,父丧,弟兄四五,得乾上爻
戌,3,父母寿,弟兄四五,得乾初爻
戌,4,母丧父寿,弟兄四五,得坤初爻
戌,5,父母丧,弟兄二三,得坤中爻
戌,6,父丧母寿,弟兄少,兑离巽
戌,7,父母寿,弟兄四五,得坤上爻
戌,8,母丧,弟兄二三,艮坎震
亥,1,父母丧,弟兄无,得乾中爻
亥,2,父丧母寿,弟兄二三,得乾上爻
亥,3,母丧,弟兄无,得乾初爻
亥,4,父母寿,弟兄无,得坤初爻
亥,5,母丧父寿,弟兄多,得坤中爻
亥,6,父丧,弟兄四五,兑离巽
亥,7,父母丧,弟兄二三,得坤上爻
亥,8,父母寿,弟兄二三,艮坎震